 
G06, C/N0=35.5, peak=1.3, codei= 3136, freq= -6800.0
G16, C/N0=35.2, peak=1.2, codei= 3305, freq=  3000.0

G25, C/N0=35.2, peak=1.1, codei=  655, freq=     0.0

G17, C/N0=35.5, peak=1.1, codei= 1508, freq=     0.0

G26, C/N0=35.3, peak=1.0, codei=  345, freq=     0.0

G18, C/N0=36.8, peak=1.6, codei= 2871, freq=     0.0

G27, C/N0=34.8, peak=1.0, codei=  756, freq=     0.0

G06, C/N0=35.0, peak=1.0, codei= 1335, freq=     0.0

G19, C/N0=35.9, peak=1.3, codei= 3810, freq=     0.0

G28, C/N0=35.7, peak=1.1, codei= 3718, freq=     0.0

G02, C/N0=36.6, peak=1.3, codei=  708, freq=     0.0

G29, C/N0=35.9, peak=1.4, codei= 1657, freq= -3200.0

G20, C/N0=35.9, peak=1.1, codei=  761, freq=     0.0

G07, C/N0=35.5, peak=1.0, codei=  164, freq=     0.0

G30, C/N0=35.4, peak=1.1, codei= 2699, freq=     0.0

G21, C/N0=34.9, peak=1.0, codei= 1127, freq=     0.0

G31, C/N0=36.0, peak=1.0, codei= 2040, freq=     0.0

G08, C/N0=36.8, peak=1.2, codei= 3471, freq=     0.0

G32, C/N0=35.5, peak=1.0, codei=  355, freq=     0.0

G22, C/N0=35.9, peak=1.2, codei= 1706, freq=     0.0

G03, C/N0=36.7, peak=1.4, codei=  522, freq=     0.0

G09, C/N0=35.2, peak=1.1, codei= 2134, freq=     0.0

G04, C/N0=35.4, peak=1.3, codei= 2769, freq=  2000.0

G23, C/N0=35.6, peak=1.2, codei=  571, freq=     0.0

G10, C/N0=35.8, peak=1.1, codei= 1584, freq=     0.0

G01, C/N0=34.8, peak=1.0, codei= 3984, freq=     0.0

G11, C/N0=35.3, peak=1.0, codei= 2458, freq=     0.0

G12, C/N0=35.3, peak=1.2, codei= 2061, freq=     0.0

G05, C/N0=35.6, peak=1.0, codei= 1393, freq=     0.0

G13, C/N0=35.6, peak=1.1, codei= 1642, freq=     0.0

G24, C/N0=36.0, peak=1.2, codei= 2489, freq=     0.0

G14, C/N0=35.5, peak=1.1, codei=  645, freq=     0.0

G15, C/N0=35.2, peak=1.2, codei= 2084, freq=  6600.0

G16, C/N0=35.3, peak=1.1, codei= 1494, freq=     0.0

G25, C/N0=34.9, peak=1.3, codei= 3382, freq=  6000.0

G17, C/N0=35.8, peak=1.2, codei= 2351, freq=     0.0

G26, C/N0=35.5, peak=1.1, codei= 1478, freq=     0.0

G18, C/N0=35.2, peak=1.4, codei= 3031, freq= -6000.0

G27, C/N0=35.8, peak=1.0, codei= 1782, freq=     0.0

G06, C/N0=35.3, peak=1.1, codei= 3476, freq=     0.0

G19, C/N0=34.8, peak=1.0, codei= 2603, freq=     0.0

G28, C/N0=35.2, peak=1.0, codei= 3953, freq=     0.0

G02, C/N0=35.1, peak=1.2, codei= 1826, freq=  6400.0

G29, C/N0=35.3, peak=1.0, codei= 2775, freq=     0.0

G20, C/N0=35.7, peak=1.1, codei= 2601, freq=     0.0

G07, C/N0=35.5, peak=1.2, codei= 1732, freq=     0.0

G30, C/N0=35.6, peak=1.1, codei= 3389, freq=     0.0

G21, C/N0=36.0, peak=1.2, codei= 2180, freq=     0.0

G31, C/N0=35.0, peak=1.0, codei= 3331, freq=     0.0

G08, C/N0=35.1, peak=1.1, codei= 1131, freq=     0.0

G32, C/N0=35.1, peak=1.1, codei=  146, freq=     0.0

G22, C/N0=36.2, peak=1.4, codei= 3784, freq=     0.0

G03, C/N0=35.5, peak=1.2, codei= 2117, freq=     0.0

G09, C/N0=35.3, peak=1.3, codei= 2222, freq= -3000.0

G04, C/N0=35.4, peak=1.4, codei=  632, freq=  1200.0

G23, C/N0=35.3, peak=1.4, codei= 3592, freq= -4600.0

G10, C/N0=35.9, peak=1.1, codei=  778, freq=     0.0

G11, C/N0=37.0, peak=1.6, codei= 3196, freq=     0.0

G01, C/N0=35.4, peak=1.1, codei= 3887, freq=     0.0

G12, C/N0=34.9, peak=1.3, codei= 1032, freq=  4000.0

G05, C/N0=36.4, peak=1.2, codei= 1439, freq=     0.0

G13, C/N0=35.0, peak=1.2, codei= 3575, freq= -2400.0

G24, C/N0=35.6, peak=1.1, codei=  897, freq=     0.0

G14, C/N0=35.3, peak=1.1, codei= 1325, freq=     0.0

G15, C/N0=35.9, peak=1.2, codei= 3240, freq=     0.0

G16, C/N0=35.8, peak=1.0, codei= 3484, freq=     0.0

G25, C/N0=35.8, peak=1.1, codei= 1198, freq=     0.0

G17, C/N0=35.1, peak=1.0, codei= 3338, freq=     0.0

G26, C/N0=36.1, peak=1.3, codei= 2507, freq=     0.0

G18, C/N0=35.9, peak=1.2, codei= 2641, freq=     0.0

G27, C/N0=35.0, peak=1.1, codei= 2785, freq=     0.0

G06, C/N0=35.8, peak=1.2, codei= 1920, freq=     0.0

G19, C/N0=36.4, peak=1.1, codei= 3175, freq=     0.0

G28, C/N0=35.3, peak=1.4, codei= 2130, freq=  5200.0

G02, C/N0=35.6, peak=1.2, codei=  744, freq=     0.0

G29, C/N0=35.9, peak=1.3, codei= 3276, freq=     0.0

G20, C/N0=35.2, peak=1.1, codei= 3324, freq=     0.0

G07, C/N0=35.1, peak=1.1, codei=  261, freq=     0.0

G30, C/N0=35.7, peak=1.1, codei= 3287, freq=     0.0

G21, C/N0=35.5, peak=1.1, codei=  573, freq=     0.0

G31, C/N0=35.1, peak=1.0, codei= 3115, freq=     0.0

G08, C/N0=36.0, peak=1.1, codei= 3378, freq=     0.0

G32, C/N0=35.7, peak=1.1, codei=  225, freq=     0.0

G22, C/N0=36.5, peak=1.3, codei= 2287, freq=     0.0

G03, C/N0=34.9, peak=1.2, codei= 3640, freq= -4000.0

G09, C/N0=35.1, peak=1.2, codei= 2606, freq=  3200.0

G04, C/N0=36.4, peak=1.0, codei= 1913, freq=     0.0

G23, C/N0=35.2, peak=1.1, codei= 2563, freq=     0.0

G10, C/N0=35.0, peak=1.1, codei= 3693, freq=     0.0

G11, C/N0=35.9, peak=1.1, codei= 1389, freq=     0.0

G01, C/N0=35.9, peak=1.0, codei= 1926, freq=     0.0

G12, C/N0=35.4, peak=1.1, codei= 2852, freq=     0.0

G05, C/N0=35.7, peak=1.2, codei= 2028, freq=     0.0

G13, C/N0=36.3, peak=1.4, codei=  352, freq=     0.0

G24, C/N0=35.1, peak=1.3, codei=  595, freq=  4400.0

G14, C/N0=35.5, peak=1.1, codei= 1507, freq=     0.0

G15, C/N0=34.9, peak=1.3, codei= 1212, freq= -1200.0

G16, C/N0=35.3, peak=1.1, codei= 1223, freq=     0.0

G25, C/N0=35.5, peak=1.1, codei= 1723, freq=     0.0

G17, C/N0=35.9, peak=1.2, codei=  224, freq=     0.0

G26, C/N0=35.4, peak=1.1, codei= 3192, freq=     0.0

G18, C/N0=35.2, peak=1.1, codei= 2529, freq=     0.0

G27, C/N0=35.4, peak=1.0, codei= 3014, freq=     0.0

G06, C/N0=35.9, peak=1.1, codei= 3629, freq=     0.0

G19, C/N0=35.5, peak=1.1, codei= 3432, freq=     0.0

G28, C/N0=35.9, peak=1.2, codei= 2634, freq=     0.0

G02, C/N0=36.0, peak=1.2, codei= 2040, freq=     0.0

G29, C/N0=35.3, peak=1.0, codei=  201, freq=     0.0

G20, C/N0=35.2, peak=1.0, codei=  981, freq=     0.0

G07, C/N0=35.9, peak=1.1, codei= 3563, freq=     0.0

G30, C/N0=36.3, peak=1.2, codei= 1127, freq=     0.0

G21, C/N0=35.3, peak=1.0, codei= 3053, freq=     0.0

G31, C/N0=35.1, peak=1.1, codei= 2236, freq=     0.0

G08, C/N0=35.8, peak=1.4, codei= 2530, freq=  1400.0

G32, C/N0=35.1, peak=1.0, codei= 3736, freq=     0.0

G22, C/N0=35.0, peak=1.2, codei= 2435, freq=  -400.0

G03, C/N0=35.8, peak=1.1, codei=  306, freq=     0.0

G09, C/N0=35.7, peak=1.0, codei= 3220, freq=     0.0

G04, C/N0=35.4, peak=1.1, codei= 2424, freq=     0.0

G23, C/N0=35.2, peak=1.1, codei= 2080, freq=     0.0

G10, C/N0=35.4, peak=1.1, codei=  433, freq=     0.0

G11, C/N0=35.2, peak=1.0, codei= 2988, freq=     0.0

G01, C/N0=36.0, peak=1.2, codei= 3657, freq=     0.0

G12, C/N0=34.7, peak=1.2, codei= 2629, freq= -1400.0

G05, C/N0=35.4, peak=1.3, codei= 2130, freq=  6400.0

G13, C/N0=35.9, peak=1.2, codei= 2041, freq=     0.0

G24, C/N0=35.7, peak=1.2, codei= 3234, freq=     0.0

G14, C/N0=35.6, peak=1.1, codei=  613, freq=     0.0

G15, C/N0=35.2, peak=1.1, codei=  977, freq=     0.0

G16, C/N0=34.9, peak=1.1, codei=  859, freq=     0.0

G25, C/N0=35.6, peak=1.1, codei=  742, freq=     0.0

G17, C/N0=35.1, peak=1.0, codei= 2725, freq=     0.0

G26, C/N0=35.4, peak=1.0, codei= 2967, freq=     0.0

G18, C/N0=35.7, peak=1.2, codei= 2487, freq=     0.0

G27, C/N0=35.5, peak=1.0, codei= 2014, freq=     0.0

G06, C/N0=35.3, peak=1.2, codei= 2581, freq= -4400.0

G19, C/N0=35.7, peak=1.2, codei= 3977, freq=     0.0

G28, C/N0=35.3, peak=1.1, codei= 3067, freq=     0.0

G02, C/N0=35.5, peak=1.1, codei=  192, freq=     0.0

G29, C/N0=35.9, peak=1.0, codei= 3841, freq=     0.0

G20, C/N0=35.4, peak=1.0, codei= 1408, freq=     0.0

G07, C/N0=35.1, peak=1.2, codei= 1566, freq=  1600.0

G30, C/N0=36.5, peak=1.3, codei= 3681, freq=     0.0

G21, C/N0=35.1, peak=1.0, codei= 3240, freq=     0.0

G31, C/N0=35.3, peak=1.4, codei= 3809, freq=  1800.0

G08, C/N0=35.2, peak=1.0, codei= 2169, freq=     0.0

G32, C/N0=35.8, peak=1.0, codei=  456, freq=     0.0

G22, C/N0=35.2, peak=1.4, codei=  286, freq= -3200.0

G03, C/N0=35.2, peak=1.1, codei= 3215, freq=     0.0

G09, C/N0=35.5, peak=1.0, codei= 1129, freq=     0.0

G04, C/N0=35.3, peak=1.3, codei=  338, freq= -1600.0

G23, C/N0=35.1, peak=1.3, codei=  732, freq= -3200.0

G10, C/N0=35.3, peak=1.0, codei= 1502, freq=     0.0

G11, C/N0=35.9, peak=1.3, codei= 1043, freq=     0.0

G01, C/N0=35.5, peak=1.1, codei= 1745, freq=     0.0

G12, C/N0=35.8, peak=1.1, codei= 3029, freq=     0.0

G05, C/N0=35.1, peak=1.0, codei= 1906, freq=     0.0

G13, C/N0=35.1, peak=1.1, codei=  465, freq=     0.0

G24, C/N0=35.1, peak=1.0, codei= 2050, freq=     0.0

G14, C/N0=34.9, peak=1.3, codei= 1789, freq=  6200.0

G15, C/N0=35.4, peak=1.1, codei=  743, freq=     0.0

G16, C/N0=35.4, peak=1.1, codei= 3405, freq=     0.0

G25, C/N0=35.0, peak=1.2, codei= 3210, freq=  3800.0

G17, C/N0=36.0, peak=1.2, codei= 1499, freq=     0.0

G26, C/N0=36.2, peak=1.2, codei= 3260, freq=     0.0

G18, C/N0=35.1, peak=1.2, codei= 1118, freq=  5800.0

G27, C/N0=35.1, peak=1.0, codei=  116, freq=     0.0

G06, C/N0=37.1, peak=1.5, codei=  516, freq=     0.0

G19, C/N0=35.4, peak=1.1, codei= 1731, freq=     0.0

G28, C/N0=35.2, peak=1.1, codei= 2858, freq=     0.0

G02, C/N0=35.3, peak=1.0, codei= 3188, freq=     0.0

G29, C/N0=35.4, peak=1.1, codei= 2367, freq=     0.0

G20, C/N0=34.9, peak=1.1, codei= 1412, freq=     0.0

G07, C/N0=35.4, peak=1.0, codei= 1776, freq=     0.0

G30, C/N0=35.1, peak=1.3, codei= 1515, freq= -6000.0

G21, C/N0=35.0, peak=1.4, codei= 2225, freq=  5000.0

G31, C/N0=35.8, peak=1.2, codei=  563, freq=     0.0

G08, C/N0=36.5, peak=1.3, codei=  516, freq=     0.0

G32, C/N0=35.9, peak=1.2, codei= 3018, freq=     0.0

G22, C/N0=35.0, peak=1.3, codei=    9, freq= -4400.0

G03, C/N0=35.1, peak=1.0, codei=  321, freq=     0.0

G09, C/N0=35.3, peak=1.0, codei= 2378, freq=     0.0

G04, C/N0=35.5, peak=1.4, codei=  569, freq= -1800.0

G23, C/N0=36.4, peak=1.4, codei= 3912, freq=     0.0

G10, C/N0=35.4, peak=1.0, codei= 3475, freq=     0.0

G11, C/N0=34.9, peak=1.0, codei= 3625, freq=     0.0

G01, C/N0=35.2, peak=1.1, codei= 1358, freq=     0.0

G12, C/N0=35.5, peak=1.0, codei=  492, freq=     0.0

G05, C/N0=35.4, peak=1.1, codei= 1658, freq=     0.0

G13, C/N0=35.1, peak=1.0, codei= 3180, freq=     0.0

G24, C/N0=36.1, peak=1.1, codei= 2572, freq=     0.0

G14, C/N0=35.1, peak=1.2, codei= 2699, freq=  6400.0

G15, C/N0=35.3, peak=1.2, codei=  822, freq=     0.0

G16, C/N0=35.4, peak=1.0, codei= 3746, freq=     0.0

G25, C/N0=35.0, peak=1.1, codei= 3370, freq=     0.0

G17, C/N0=36.6, peak=1.3, codei= 3796, freq=     0.0

G26, C/N0=34.7, peak=1.0, codei= 2786, freq=     0.0

G18, C/N0=35.1, peak=1.3, codei= 3606, freq=  1200.0

G27, C/N0=35.4, peak=1.1, codei= 3597, freq=     0.0

G06, C/N0=35.6, peak=1.0, codei= 1597, freq=     0.0

G19, C/N0=34.9, peak=1.1, codei= 3834, freq=   800.0

G28, C/N0=35.8, peak=1.6, codei=  679, freq= -4200.0

G02, C/N0=35.9, peak=1.3, codei= 2453, freq= -4400.0

G29, C/N0=35.7, peak=1.1, codei= 2674, freq=     0.0

G20, C/N0=35.7, peak=1.3, codei= 3809, freq=     0.0

G07, C/N0=35.3, peak=1.0, codei= 1892, freq=     0.0

G30, C/N0=35.0, peak=1.0, codei= 1477, freq=     0.0

G21, C/N0=35.8, peak=1.1, codei= 1855, freq=     0.0

G31, C/N0=36.1, peak=1.1, codei= 2911, freq=     0.0

G08, C/N0=34.8, peak=1.0, codei= 3672, freq=     0.0

G32, C/N0=36.3, peak=1.3, codei=  799, freq=     0.0

G22, C/N0=36.3, peak=1.1, codei= 3034, freq=     0.0

G03, C/N0=35.5, peak=1.2, codei= 3364, freq=     0.0

G09, C/N0=35.1, peak=1.0, codei= 1849, freq=     0.0

G04, C/N0=34.9, peak=1.3, codei= 2653, freq=  6400.0

G23, C/N0=35.9, peak=1.2, codei= 1499, freq=     0.0

G10, C/N0=36.1, peak=1.4, codei= 3720, freq=     0.0

G11, C/N0=36.9, peak=1.3, codei= 2978, freq=     0.0

G01, C/N0=35.7, peak=1.1, codei= 1606, freq=     0.0

G12, C/N0=35.5, peak=1.1, codei= 3825, freq=     0.0

G05, C/N0=35.5, peak=1.1, codei= 3866, freq=     0.0

G13, C/N0=35.5, peak=1.4, codei=  430, freq=  1000.0

G24, C/N0=35.4, peak=1.1, codei=  567, freq=     0.0

G14, C/N0=35.3, peak=1.1, codei= 1112, freq=  4000.0

G15, C/N0=35.7, peak=1.1, codei= 1113, freq=     0.0

G16, C/N0=35.6, peak=1.0, codei= 2955, freq=     0.0

G25, C/N0=35.1, peak=1.1, codei= 3137, freq=     0.0

G17, C/N0=35.6, peak=1.1, codei=  357, freq=     0.0

G26, C/N0=35.0, peak=1.0, codei= 2762, freq=     0.0

G18, C/N0=35.8, peak=1.1, codei= 2581, freq=     0.0

G27, C/N0=35.6, peak=1.1, codei=   24, freq=     0.0

G06, C/N0=35.0, peak=1.3, codei= 2603, freq=  -800.0

G19, C/N0=35.3, peak=1.1, codei= 1495, freq=     0.0

G28, C/N0=35.5, peak=1.1, codei=   76, freq=     0.0

G02, C/N0=35.4, peak=1.1, codei= 3527, freq=     0.0

G29, C/N0=35.2, peak=1.0, codei= 3464, freq=     0.0

G20, C/N0=36.2, peak=1.2, codei= 2536, freq=     0.0

G07, C/N0=36.1, peak=1.2, codei= 1952, freq=     0.0

G30, C/N0=35.8, peak=1.2, codei= 1840, freq=     0.0

G21, C/N0=35.8, peak=1.2, codei=  317, freq=     0.0

G31, C/N0=35.5, peak=1.6, codei= 3010, freq= -1200.0

G08, C/N0=35.1, peak=1.3, codei= 1563, freq= -4600.0

G32, C/N0=35.3, peak=1.3, codei=  256, freq=  6400.0

G22, C/N0=35.2, peak=1.1, codei= 1565, freq=     0.0

G03, C/N0=35.1, peak=1.3, codei= 1836, freq=  6200.0

G09, C/N0=35.7, peak=1.1, codei=  521, freq=     0.0

G04, C/N0=35.6, peak=1.1, codei=  520, freq=     0.0

G23, C/N0=35.3, peak=1.0, codei= 1555, freq=     0.0

G10, C/N0=35.4, peak=1.4, codei=  297, freq= -1200.0

G11, C/N0=35.3, peak=1.2, codei=  550, freq=  5000.0

G01, C/N0=35.2, peak=1.4, codei= 3868, freq=  1400.0

G12, C/N0=35.6, peak=1.2, codei= 3330, freq=     0.0

G05, C/N0=35.1, peak=1.1, codei= 1142, freq=     0.0

G13, C/N0=35.3, peak=1.4, codei= 2447, freq=  3800.0

G24, C/N0=35.2, peak=1.1, codei= 3229, freq= -2000.0

G14, C/N0=35.0, peak=1.0, codei=  270, freq=     0.0

G15, C/N0=35.3, peak=1.0, codei=  497, freq=     0.0

G16, C/N0=35.9, peak=1.1, codei=  939, freq=     0.0

G25, C/N0=34.9, peak=1.2, codei= 2557, freq= -3800.0

G17, C/N0=35.2, peak=1.0, codei= 3295, freq=     0.0

G26, C/N0=35.3, peak=1.2, codei=  586, freq=  4400.0

G18, C/N0=35.9, peak=1.1, codei=  588, freq=     0.0

G27, C/N0=35.2, peak=1.4, codei= 3006, freq= -3600.0

G06, C/N0=35.8, peak=1.1, codei=  262, freq=     0.0

G19, C/N0=35.2, peak=1.4, codei= 3884, freq=  5800.0

G28, C/N0=35.1, peak=1.2, codei= 2901, freq=     0.0

G02, C/N0=35.4, peak=1.1, codei= 1971, freq=     0.0

G29, C/N0=35.6, peak=1.5, codei= 2382, freq=  6200.0

G20, C/N0=35.9, peak=1.3, codei= 3671, freq=     0.0

G07, C/N0=35.8, peak=1.1, codei=  236, freq=     0.0

G30, C/N0=35.8, peak=1.3, codei= 1806, freq=     0.0

G21, C/N0=35.5, peak=1.2, codei= 2453, freq=     0.0

G31, C/N0=35.5, peak=1.1, codei= 2853, freq=     0.0

G08, C/N0=35.1, peak=1.1, codei=  199, freq=     0.0

G32, C/N0=35.3, peak=1.1, codei= 1712, freq=     0.0

G22, C/N0=35.0, peak=1.0, codei=  402, freq=     0.0

G03, C/N0=35.6, peak=1.1, codei= 3483, freq=     0.0

G09, C/N0=36.2, peak=1.1, codei= 3003, freq=     0.0

G04, C/N0=35.7, peak=1.2, codei= 3558, freq=     0.0

G23, C/N0=35.2, peak=1.0, codei= 2427, freq=     0.0

G10, C/N0=34.8, peak=1.2, codei=  950, freq= -5200.0

G11, C/N0=34.6, peak=1.2, codei= 1868, freq= -6400.0

G01, C/N0=35.9, peak=1.3, codei= 2202, freq=     0.0

G12, C/N0=35.9, peak=1.6, codei=   62, freq=  5600.0

G05, C/N0=35.4, peak=1.0, codei= 3880, freq=     0.0

G13, C/N0=36.1, peak=1.0, codei=  879, freq=     0.0

G24, C/N0=35.7, peak=1.1, codei=   42, freq=     0.0

G14, C/N0=35.1, peak=1.2, codei= 1730, freq=  6800.0

G15, C/N0=35.6, peak=1.1, codei= 1615, freq=     0.0

G16, C/N0=35.0, peak=1.0, codei= 1054, freq=     0.0

G25, C/N0=35.1, peak=1.4, codei= 2456, freq= -1800.0

G17, C/N0=35.2, peak=1.0, codei= 2164, freq=     0.0

G26, C/N0=35.4, peak=1.0, codei= 2865, freq=     0.0

G18, C/N0=35.5, peak=1.1, codei= 3836, freq=     0.0

G27, C/N0=35.2, peak=1.0, codei=  957, freq=     0.0

G06, C/N0=35.1, peak=1.1, codei= 2400, freq=     0.0

G19, C/N0=35.4, peak=1.1, codei= 1188, freq=     0.0

G28, C/N0=35.7, peak=1.3, codei= 2923, freq=  6800.0

G02, C/N0=36.3, peak=1.4, codei= 3156, freq=     0.0

G29, C/N0=36.2, peak=1.1, codei= 1429, freq=     0.0

G20, C/N0=35.6, peak=1.0, codei= 2022, freq=     0.0

G07, C/N0=35.7, peak=1.1, codei= 2386, freq=     0.0

G30, C/N0=35.2, peak=1.0, codei=  528, freq=     0.0

G21, C/N0=34.9, peak=1.3, codei= 1120, freq= -3000.0

G31, C/N0=35.5, peak=1.1, codei= 3851, freq=     0.0

G08, C/N0=35.8, peak=1.1, codei= 3849, freq=     0.0

G32, C/N0=35.4, peak=1.0, codei=  958, freq=     0.0

G22, C/N0=35.0, peak=1.3, codei= 2131, freq=  6600.0

G03, C/N0=35.3, peak=1.1, codei= 2955, freq=     0.0

G09, C/N0=36.1, peak=1.1, codei=  565, freq=     0.0

G04, C/N0=35.3, peak=1.0, codei=  250, freq=     0.0

G23, C/N0=35.0, peak=1.3, codei= 1241, freq=  -800.0

G10, C/N0=34.9, peak=1.0, codei= 1800, freq=     0.0

G11, C/N0=35.3, peak=1.2, codei= 1546, freq=  6400.0

G01, C/N0=36.1, peak=1.1, codei=  781, freq=     0.0

G12, C/N0=35.9, peak=1.2, codei= 3552, freq=     0.0

G05, C/N0=35.6, peak=1.1, codei= 3478, freq=     0.0

G13, C/N0=35.4, peak=1.0, codei= 1770, freq=     0.0

G24, C/N0=35.0, peak=1.1, codei= 1912, freq=     0.0

G14, C/N0=35.2, peak=1.1, codei= 3590, freq=     0.0

G15, C/N0=35.1, peak=1.5, codei= 3588, freq=  6200.0

G16, C/N0=35.7, peak=1.0, codei= 2445, freq=     0.0

G25, C/N0=36.3, peak=1.1, codei=  937, freq=     0.0

G17, C/N0=35.0, peak=1.0, codei= 3161, freq=     0.0

G26, C/N0=36.1, peak=1.2, codei= 1960, freq=     0.0

G18, C/N0=35.1, peak=1.0, codei=  245, freq=     0.0

G27, C/N0=35.6, peak=1.4, codei= 3049, freq= -4200.0

G06, C/N0=35.7, peak=1.1, codei= 3745, freq=     0.0

G19, C/N0=35.4, peak=1.4, codei= 1633, freq=  7000.0

G28, C/N0=35.4, peak=1.3, codei= 2963, freq= -2600.0

G02, C/N0=35.5, peak=1.1, codei= 2924, freq=     0.0

G29, C/N0=35.4, peak=1.1, codei= 3074, freq=     0.0

G20, C/N0=36.0, peak=1.0, codei= 3202, freq=     0.0

G07, C/N0=35.1, peak=1.1, codei=  636, freq=     0.0

G30, C/N0=35.3, peak=1.1, codei= 2956, freq=     0.0

G21, C/N0=35.5, peak=1.1, codei=  398, freq=     0.0

G31, C/N0=35.5, peak=1.1, codei= 2298, freq=     0.0

G08, C/N0=35.3, peak=1.2, codei=  914, freq=  1800.0

G32, C/N0=35.0, peak=1.1, codei= 3448, freq=     0.0

G22, C/N0=35.6, peak=1.1, codei= 3639, freq=     0.0

G03, C/N0=35.7, peak=1.0, codei=  604, freq=     0.0

G09, C/N0=35.1, peak=1.0, codei= 3872, freq=     0.0

G04, C/N0=35.3, peak=1.0, codei= 3907, freq=     0.0

G23, C/N0=36.5, peak=1.9, codei= 2202, freq= -1000.0

G10, C/N0=35.8, peak=1.0, codei= 3675, freq=     0.0

G11, C/N0=35.1, peak=1.1, codei= 1360, freq=   200.0

G01, C/N0=35.2, peak=1.1, codei= 2945, freq=     0.0

G12, C/N0=36.1, peak=1.2, codei= 1899, freq=     0.0

G05, C/N0=34.8, peak=1.1, codei= 3165, freq= -1200.0

G13, C/N0=35.0, peak=1.0, codei= 2047, freq=     0.0

G24, C/N0=35.6, peak=1.0, codei= 3506, freq=     0.0

